scene,line_number,start,end,gap_before,duration,narration,action_word,estimated_action_word_time,visual_action_state_start,visible_action,rate,pitch,emotion,spoken_wpm,short_gap_flag,long_gap_flag,file
1,1,0.38,3.452,0.38,3.072,Sun on the river—picnic day!,river,2.1976,5.333333333333333,friends inspect the tied empty raft and three picnic loads,-6%,+3Hz,playful-emphasis,117.1875,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-01-line-01-natasha-au.wav
1,2,3.852,7.26,0.3999999999999999,3.408,"Ollie smiles and calls, “This way!”",calls,5.868399999999999,5.333333333333333,friends inspect the tied empty raft and three picnic loads,-6%,+3Hz,playful-emphasis,105.63380281690141,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-01-line-02-natasha-au.wav
1,3,8.224,11.68,0.9640000000000004,3.456,"Basket, blanket, water too—",blanket,9.5632,5.333333333333333,friends inspect the tied empty raft and three picnic loads,-7%,+2Hz,warm-story,69.44444444444444,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-01-line-03-natasha-au.wav
1,4,12.01,15.25,0.33000000000000007,3.24,How can three friends safely cruise?,cruise,15.007,5.333333333333333,friends inspect the tied empty raft and three picnic loads,-6%,+3Hz,curious-question,111.1111111111111,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-01-line-04-natasha-au.wav
2,1,16.38,20.052,1.129999999999999,3.672,"Basket, blanket, jug go left.",left,19.721519999999998,21.333333333333332,the loads move left and the raft visibly tilts,-7%,+2Hz,warm-story,81.69934640522875,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-02-line-01-natasha-au.wav
2,2,20.451999999999998,24.628,0.3999999999999986,4.176,Oops! That side has all the heft!,Oops,20.780114285714284,21.333333333333332,the loads move left and the raft visibly tilts,-6%,+3Hz,playful-emphasis,100.57471264367815,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-02-line-02-natasha-au.wav
2,3,24.948,28.356,0.3200000000000003,3.408,"Left side low, right side high—",right,26.9644,21.333333333333332,the loads move left and the raft visibly tilts,-7%,+2Hz,warm-story,105.63380281690141,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-02-line-03-natasha-au.wav
2,4,28.686,31.614,0.3299999999999983,2.928,Keep it tied and keep it flat.,flat,31.42577142857143,21.333333333333332,the loads move left and the raft visibly tilts,-7%,+2Hz,warm-story,143.44262295081967,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-02-line-04-natasha-au.wav
3,1,32.38,35.38,0.7660000000000018,3.0,Ollie rolls the blue jug right.,rolls,33.155,37.333333333333336,Ollie rolls the jug right and the raft returns level,-7%,+2Hz,warm-story,120.0,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-03-line-01-natasha-au.wav
3,2,35.78,39.02,0.3999999999999986,3.24,"Willa watches, eyes so bright.",watches,36.7844,37.333333333333336,Ollie rolls the jug right and the raft returns level,-7%,+2Hz,warm-story,92.59259259259258,False,False,C:\Animation\Animation\KidsRhymes\automation\production-work\ollie-otter-floating-picnic-01-narration-revision\narration-segments\scene-03-line-02-natasha-au.wav
